id,order,family,subfamily,genus,species,genome,host,sequence_name,submission_date
115,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Timboteua orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-26
116,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Turlock orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-27
117,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Wolkberg orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-28
118,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Wyeomyia orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-29
119,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Zegla orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-30
120,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Kigluaik phantom orthophasmavirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-01
121,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Nome phantom orthophasmavirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-02
122,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Shuangao insect orthophasmavirus 2,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-03
123,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Wuchang cockroach orthophasmavirus 1,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-04
124,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Wuhan mosquito orthophasmavirus 1,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-05
125,Bunyavirales,Phasmaviridae,,Orthophasmavirus,Wuhan mosquito orthophasmavirus 2,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-06
126,Bunyavirales,Phenuiviridae,,Goukovirus,Cumuto goukovirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-07
127,Bunyavirales,Phenuiviridae,,Goukovirus,Gouleako goukovirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-08
128,Bunyavirales,Phenuiviridae,,Goukovirus,Yichang insect goukovirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-09
129,Bunyavirales,Phenuiviridae,,Phasivirus,Badu phasivirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-10
130,Bunyavirales,Phenuiviridae,,Phasivirus,Phasi Charoen-like phasivirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-11
131,Bunyavirales,Phenuiviridae,,Phasivirus,Wuhan fly phasivirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-12
132,Bunyavirales,Phenuiviridae,,Phasivirus,Wutai mosquito phasivirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-13
133,Bunyavirales,Phenuiviridae,,Phlebovirus,Bujaru phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-14
134,Bunyavirales,Phenuiviridae,,Phlebovirus,Candiru phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-15
135,Bunyavirales,Phenuiviridae,,Phlebovirus,Chilibre phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-16
136,Bunyavirales,Phenuiviridae,,Phlebovirus,Frijoles phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-17
137,Bunyavirales,Phenuiviridae,,Phlebovirus,Punta Toro phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-18
138,Bunyavirales,Phenuiviridae,,Phlebovirus,Rift Valley fever phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-19
139,Bunyavirales,Phenuiviridae,,Phlebovirus,Salehabad phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-20
140,Bunyavirales,Phenuiviridae,,Phlebovirus,Sandfly fever Naples phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-21
141,Bunyavirales,Phenuiviridae,,Phlebovirus,SFTS phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-22
142,Bunyavirales,Phenuiviridae,,Phlebovirus,Uukuniemi phlebovirus,ssRNA(+/-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-23
143,Bunyavirales,Phenuiviridae,,Tenuivirus,Echinochloa hoja blanca tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-24
144,Bunyavirales,Phenuiviridae,,Tenuivirus,Iranian wheat stripe tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-25
145,Bunyavirales,Phenuiviridae,,Tenuivirus,Maize stripe tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-26
146,Bunyavirales,Phenuiviridae,,Tenuivirus,Rice grassy stunt tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-27
147,Bunyavirales,Phenuiviridae,,Tenuivirus,Rice hoja blanca tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-28
148,Bunyavirales,Phenuiviridae,,Tenuivirus,Rice stripe tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-29
149,Bunyavirales,Phenuiviridae,,Tenuivirus,Urochloa hoja blanca tenuivirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-30
150,Bunyavirales,Tospoviridae,,Orthotospovirus,Groundnut bud necrosis orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-12-31
151,Bunyavirales,Tospoviridae,,Orthotospovirus,Groundnut ringspot orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1993-01-01
152,Bunyavirales,Tospoviridae,,Orthotospovirus,Groundnut yellow spot orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1993-01-02
153,Bunyavirales,Tospoviridae,,Orthotospovirus,Impatiens necrotic spot orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1993-01-03
154,Bunyavirales,Tospoviridae,,Orthotospovirus,Iris yellow spot orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1993-01-04
155,Bunyavirales,Tospoviridae,,Orthotospovirus,Polygonum ringspot orthotospovirus,ssRNA(+/-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1993-01-05
